TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,AgeGroup,Target
14.09,Debit,San Diego,ATM,70.0,Dewasa,81.0,1.0,5112.21,1,2
376.24,Debit,Houston,ATM,68.0,Dewasa,141.0,1.0,13758.91,1,0
126.29,Debit,Mesa,Online,19.0,Remaja,56.0,1.0,1122.35,3,1
184.5,Debit,Raleigh,Online,26.0,Remaja,25.000000000000004,1.0,8569.06,3,2
13.45,Credit,Atlanta,Online,44.67844382691544,Remaja,198.0,1.0,7429.4,0,3
92.15,Debit,Oklahoma City,ATM,18.0,Remaja,172.0,1.0,781.68,4,1
7.08,Credit,Seattle,ATM,37.0,Dewasa,139.0,1.0,13316.71,0,2
171.42,Credit,Indianapolis,Branch,67.0,Paruh Baya,291.0,1.0,2796.24,1,0
106.23,Credit,Detroit,Branch,51.0,Lansia,86.0,1.0,9095.14,2,0
815.96,Debit,Nashville,ATM,55.0,Dewasa,120.0,1.0,1021.8800000000001,2,1
17.78,Credit,Albuquerque,Online,52.0,Lansia,59.00000000000001,1.0,7599.5199999999995,2,3
190.02,Debit,Memphis,Online,21.0,Remaja,173.0,1.0,1528.81,3,1
494.52,Credit,Mesa,Branch,24.0,Remaja,111.0,1.0,1620.02,3,1
781.76,Debit,Memphis,ATM,26.0,Remaja,123.0,1.0,189.69,3,1
166.99,Debit,Louisville,Online,18.0,Remaja,134.0,1.0,299.93,4,0
465.45,Debit,Denver,ATM,36.0,Lansia,129.0,1.0,3465.54,0,3
555.8,Credit,Austin,Branch,19.0,Remaja,158.0,1.0,1131.26,3,3
492.93,Debit,Columbus,Online,39.0,Lansia,234.0,1.0,5109.97,0,3
18.68,Credit,Albuquerque,Branch,59.0,Paruh Baya,106.0,1.0,7948.369999999999,2,3
71.48,Credit,Columbus,Online,18.0,Remaja,169.0,1.0,6568.59,4,3
59.32,Debit,Los Angeles,Branch,71.0,Paruh Baya,37.99999999999999,1.0,5750.89,1,0
85.77,Debit,Las Vegas,Branch,38.0,Dewasa,93.0,1.0,9146.19,0,0
52.2,Debit,Atlanta,Online,39.0,Lansia,120.0,1.0,8974.93,0,3
145.54,Debit,Raleigh,Online,21.0,Remaja,96.0,1.0,1930.96,3,2
7.49,Credit,Houston,Online,65.0,Paruh Baya,276.0,1.0,3634.67,1,0
40.32,Debit,Milwaukee,Branch,37.0,Lansia,95.0,1.0,2686.52,0,1
127.45,Debit,Las Vegas,Online,44.0,Dewasa,197.0,1.0,1772.06,0,0
56.17,Debit,Detroit,Branch,27.0,Remaja,283.0,1.0,1351.69,3,0
28.31,Credit,Miami,Online,59.0,Dewasa,20.0,1.0,8334.47,2,1
59.12,Debit,Baltimore,ATM,29.0,Dewasa,257.0,1.0,9823.64,3,3
877.81,Debit,Los Angeles,Online,22.0,Remaja,150.0,1.0,399.0,3,0
255.26,Credit,San Francisco,Branch,45.0,Dewasa,50.00000000000001,1.0,14815.87,0,2
124.76,Debit,Seattle,Branch,49.0,Lansia,45.0,1.0,5764.72,0,2
78.13,Debit,Milwaukee,Branch,26.0,Remaja,145.0,1.0,900.61,3,1
649.28,Debit,San Jose,ATM,75.0,Paruh Baya,137.0,1.1216216216216217,4875.86,1,2
795.31,Debit,Mesa,ATM,66.0,Dewasa,90.0,2.0,7914.879999999999,1,1
335.63,Debit,Oklahoma City,Online,55.0,Paruh Baya,215.99999999999997,1.0,1019.39,2,1
328.47,Debit,San Antonio,ATM,63.0,Paruh Baya,119.0,1.0,4323.66,2,2
34.02,Debit,Philadelphia,Online,38.0,Dewasa,18.999999999999996,1.0,14214.48,0,1
241.42000000000002,Credit,Charlotte,Online,57.0,Dewasa,116.00000000000001,1.0,13357.02,2,3
55.32,Debit,Tucson,ATM,19.0,Remaja,117.0,1.0,241.79000000000002,3,2
304.31,Debit,Louisville,Branch,27.0,Remaja,33.0,1.0,868.61,3,0
435.27,Debit,Chicago,Branch,74.0,Paruh Baya,90.0,1.0,4673.28,1,3
164.49,Debit,Baltimore,Branch,26.0,Remaja,75.0,1.0,1509.27,3,3
510.23999999999995,Debit,Oklahoma City,Online,19.0,Remaja,105.0,1.0,781.7,3,1
626.9,Debit,Denver,Online,26.0,Remaja,138.0,1.0,265.51,3,3
22.01,Credit,Sacramento,Online,41.0,Lansia,175.0,1.0,1335.09,0,2
425.34,Credit,Kansas City,Online,69.0,Paruh Baya,121.0,1.0,3907.5399999999995,1,0
424.56,Debit,Omaha,Online,51.0,Lansia,264.0,1.0,5183.85,2,1
85.43,Debit,Virginia Beach,Branch,67.0,Dewasa,145.0,1.0,14904.9,1,2
169.5,Debit,San Diego,Branch,28.0,Remaja,142.0,1.0,918.8799999999999,3,2
